Name; Agents; t_Normal; t_RSD_heuristic; t_RSD; t_partition
wt40; 40; 0.020265; 0.02346; 0.017585; 0.333
wt40; 40; 0.018247; 0.01904; 0.021421; 0.714
wt40; 40; 0.01306; 0.009044; 0.012534; 0.304
wt40; 40; 0.018772; 0.018667; 0.019707; 0.257
wt40; 40; 0.008288; 0.0133; 0.008735; 0.289
wt40; 40; 0.02206; 0.012139; 0.009481; 0.379
wt40; 40; 0.009921; 0.009842; 0.009725; 0.346
wt40; 40; 0.017123; 0.016407; 0.017075; 0.415
wt40; 40; 0.015794; 0.014688; 0.015246; 0.352
wt40; 40; 0.011043; 0.01526; 0.01225; 0.384
wt40; 40; 0.018038; 0.01556; 0.008826; 0.407
wt40; 40; 0.032416; 0.03619; 0.032147; 0.358
wt40; 40; 0.019265; 0.024468; 0.008104; 0.47
wt40; 40; 0.012235; 0.018443; 0.012933; 0.449
wt40; 40; 0.017966; 0.01984; 0.00822; 0.446
wt40; 40; 0.055305; 0.06383; 0.05561; 0.636
wt40; 40; 0.028581; 0.037521; 0.028641; 0.463
wt40; 40; 0.017683; 0.025177; 0.008177; 0.464
wt40; 40; 0.018143; 0.015629; 0.00844; 0.508
wt40; 40; 0.012953; 0.017335; 0.013022; 0.431
wt40; 40; 0.01646; 0.015861; 0.016825; 0.151
wt40; 40; 0.010169; 0.009537; 0.01085; 0.089
wt40; 40; 0.010611; 0.009822; 0.01082; 0.132
wt40; 40; 0.017035; 0.002301; 0.007725; 0.141
wt40; 40; 0.022511; 0.008215; 0.007807; 0.104
wt40; 40; 0.000474; 0.000594; 0.000635; 0.025
wt40; 40; 0.000511; 0.000582; 0.000626; 0.034
wt40; 40; 0.018621; 0.000643; 0.011661; 0.03
wt40; 40; 0.000522; 0.00065; 0.000703; 0.035
wt40; 40; 0.019165; 0.000629; 0.009166; 0.03
wt40; 40; 0.012142; 0.012431; 0.011868; 0.374
wt40; 40; 0.024741; 0.012467; 0.012376; 0.39
wt40; 40; 0.01904; 0.018613; 0.018804; 0.703
wt40; 40; 0.012323; 0.01661; 0.013642; 0.517
wt40; 40; 0.013243; 0.013582; 0.016207; 0.467
wt40; 40; 0.015969; 0.027352; 0.014696; 0.54
wt40; 40; 0.022662; 0.0183; 0.025338; 0.411
wt40; 40; 0.01648; 0.013402; 0.015412; 0.562
wt40; 40; 0.041392; 0.035081; 0.033824; 0.691
wt40; 40; 0.017464; 0.017873; 0.017532; 0.485
wt40; 40; 0.016546; 0.026677; 0.016296; 0.634
wt40; 40; 0.018613; 0.027512; 0.012275; 0.625
wt40; 40; 0.0168; 0.030559; 0.008131; 0.563
