Name, n, |M|, time solution, time partition, time distribution, generated solutions, used solutions, geometric mean, arithmetic mean, minimum selection probability
10-instance-1, 10, 0, 0.002,0.004,0,11,0,0,0,1,
10-instance-2, 10, 2, 0.001,0.005,0.001,10,2,0.5,0.5,0.5,
10-instance-3, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-4, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-5, 10, 0, 0.002,0.003,0,11,0,0,0,1,
10-instance-6, 10, 4, 0.001,0.005,0.004,10,4,0.25,0.25,0.25,
10-instance-7, 10, 0, 0,0.008,0,11,0,0,0,1,
10-instance-8, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-9, 10, 4, 0.014,0.018,0.01,8,4,0.5,0.5,0.5,
10-instance-10, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-11, 10, 3, 0.001,0.004,0,10,3,0.333333,0.333333,0.333333,
10-instance-12, 10, 0, 0,0.001,0,11,0,0,0,1,
10-instance-13, 10, 3, 0.001,0.002,0,10,3,0.333333,0.333333,0.333333,
10-instance-14, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-15, 10, 0, 0,0.004,0,11,0,0,0,1,
10-instance-16, 10, 0, 0.001,0.009,0,11,0,0,0,1,
10-instance-17, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-18, 10, 5, 0.001,0.004,0.001,10,5,0.2,0.2,0.2,
10-instance-19, 10, 2, 0.001,0.009,0.001,10,2,0.5,0.5,0.5,
10-instance-20, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-21, 10, 0, 0.001,0.003,0,11,0,0,0,1,
10-instance-22, 10, 4, 0,0.004,0.002,8,3,0.471405,0.5,0.333333,
10-instance-23, 10, 2, 0,0.003,0.001,10,2,0.5,0.5,0.5,
10-instance-24, 10, 2, 0.001,0.004,0.001,10,2,0.5,0.5,0.5,
10-instance-25, 10, 4, 0.002,0.012,0.057,9,6,0.5,0.5,0.5,
10-instance-26, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-27, 10, 4, 0,0.003,0.011,9,4,0.5,0.5,0.5,
10-instance-28, 10, 7, 0.001,0.005,0.025,7,8,0.395955,0.428571,0.25,
10-instance-29, 10, 2, 0.001,0.003,0.001,10,2,0.5,0.5,0.5,
10-instance-30, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-31, 10, 0, 0,0.003,0,11,0,0,0,1,
10-instance-32, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-33, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-34, 10, 2, 0.002,0.013,0.001,10,2,0.5,0.5,0.5,
10-instance-35, 10, 0, 0,0.004,0,11,0,0,0,1,
10-instance-36, 10, 4, 0.008,0.02,0.007,10,4,0.25,0.25,0.25,
10-instance-37, 10, 2, 0.001,0.002,0.002,10,2,0.5,0.5,0.5,
10-instance-38, 10, 2, 0.001,0.002,0.001,10,2,0.5,0.5,0.5,
10-instance-39, 10, 2, 0.001,0.002,0,10,2,0.5,0.5,0.5,
10-instance-40, 10, 3, 0.001,0.003,0.001,10,3,0.333333,0.333333,0.333333,
10-instance-41, 10, 3, 0.008,0.031,0.007,10,3,0.666667,0.666667,0.666667,
10-instance-42, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-43, 10, 2, 0.001,0.003,0.002,10,2,0.5,0.5,0.5,
10-instance-44, 10, 2, 0.001,0.004,0.001,10,2,0.5,0.5,0.5,
10-instance-45, 10, 0, 0.001,0.001,0,11,0,0,0,1,
10-instance-46, 10, 0, 0.006,0.023,0,11,0,0,0,1,
10-instance-47, 10, 0, 0,0.002,0,11,0,0,0,1,
10-instance-48, 10, 0, 0.001,0.004,0,11,0,0,0,1,
10-instance-49, 10, 0, 0.001,0.002,0,11,0,0,0,1,
10-instance-50, 10, 3, 0.001,0.003,0.001,10,3,0.333333,0.333333,0.333333,
20-instance-1, 20, 6, 0.007,0.062,0.106,17,12,0.48075,0.5,0.333333,
20-instance-2, 20, 0, 0.001,0.008,0,21,0,0,0,1,
20-instance-3, 20, 0, 0.009,0.131,0,21,0,0,0,1,
20-instance-4, 20, 4, 0.002,0.004,0.003,18,4,0.5,0.5,0.5,
20-instance-5, 20, 0, 0.001,0.005,0,21,0,0,0,1,
20-instance-6, 20, 7, 0.009,0.084,0.177,18,22,0.240665,0.285714,0.136364,
20-instance-7, 20, 8, 0.003,0.009,0.016,18,13,0.329338,0.375,0.153846,
20-instance-8, 20, 8, 0.009,0.1,0.242,20,8,0.125,0.125,0.125,
20-instance-9, 20, 9, 0.003,0.05,0.311,16,24,0.4173,0.555556,0.0833333,
20-instance-10, 20, 2, 0.002,0.011,0.001,20,2,0.5,0.5,0.5,
20-instance-11, 20, 2, 0,0.004,0.001,20,2,0.5,0.5,0.5,
20-instance-12, 20, 8, 0.001,0.005,0.001,18,6,0.203807,0.25,0.166667,
20-instance-13, 20, 9, 0.001,0.006,0.075,15,14,0.542915,0.555556,0.428571,
20-instance-14, 20, 6, 0.008,0.115,0.497,19,42,0.323501,0.333333,0.190476,
20-instance-15, 20, 15, 0.01,0.109,26.787,14,1001,0.449027,0.533333,0.114885,
20-instance-16, 20, 0, 0.012,0.17,0,21,0,0,0,1,
20-instance-17, 20, 6, 0.001,0.011,0.003,20,6,0.166667,0.166667,0.166667,
20-instance-18, 20, 9, 0.002,0.029,0.348,19,14,0.188715,0.222222,0.142857,
20-instance-19, 20, 0, 0.002,0.008,0,21,0,0,0,1,
20-instance-20, 20, 9, 0.01,0.1,0.497,19,24,0.190071,0.222222,0.125,
